"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.190000000E2,5.360000134E-1,7.599999756E-2,1.084099960E1
3.200000000E2,-7.599999756E-2,1.110000014E0,6.320000172E0
3.210000000E2,-1.909999996E-1,-7.599999756E-2,8.236000061E0
3.220000000E2,-8.809999824E-1,-8.420000076E-1,9.461999893E0
3.230000000E2,-5.360000134E-1,1.909999996E-1,1.283300018E1
3.240000000E2,8.420000076E-1,4.979999959E-1,1.206700039E1
3.250000000E2,1.140000001E-1,1.149000049E0,9.385000229E0
3.260000000E2,7.269999981E-1,1.110000014E0,7.125000000E0
3.270000000E2,6.510000229E-1,-5.360000134E-1,8.963999748E0
3.280000000E2,3.440000117E-1,-2.680000067E-1,9.920999527E0
3.290000000E2,-6.890000105E-1,-3.440000117E-1,1.202799988E1
3.300000000E2,-1.034000039E0,1.340000033E0,9.920999527E0
3.310000000E2,-4.210000038E-1,1.264000058E0,8.121000290E0
3.320000000E2,-4.210000038E-1,3.829999864E-1,7.890999794E0
3.330000000E2,-1.225000024E0,1.909999996E-1,7.967999935E0
3.340000000E2,-9.959999919E-1,-7.599999756E-2,9.845000267E0
3.350000000E2,1.909999996E-1,9.959999919E-1,1.168400002E1
3.360000000E2,3.440000117E-1,1.417000055E0,9.461999893E0
3.370000000E2,1.909999996E-1,1.608000040E0,7.163000107E0
3.380000000E2,-1.909999996E-1,3.440000117E-1,8.427000046E0
3.390000000E2,-1.529999971E-1,0.000000000E0,1.026599979E1
3.400000000E2,7.599999756E-2,1.034000039E0,1.126200008E1
3.410000000E2,-1.529999971E-1,1.302000046E0,9.767999649E0
3.420000000E2,7.599999756E-2,1.493999958E0,7.890999794E0
3.430000000E2,3.059999943E-1,3.799999878E-2,8.696000099E0
3.440000000E2,-6.119999886E-1,-1.529999971E-1,9.347000122E0
3.450000000E2,-3.440000117E-1,1.646999955E0,1.152999973E1
3.460000000E2,5.360000134E-1,9.570000172E-1,1.068799973E1
3.470000000E2,4.589999914E-1,1.225000024E0,8.925000191E0
3.480000000E2,1.140000001E-1,3.440000117E-1,8.656999588E0
3.490000000E2,6.119999886E-1,1.110000014E0,9.079000473E0
3.500000000E2,1.529999971E-1,1.187000036E0,1.130099964E1
3.510000000E2,-6.890000105E-1,1.646999955E0,9.385000229E0
3.520000000E2,-6.119999886E-1,1.149000049E0,7.967999935E0
3.530000000E2,-1.909999996E-1,3.059999943E-1,8.465999603E0
3.540000000E2,-8.040000200E-1,3.799999878E-2,1.107100010E1
3.550000000E2,3.059999943E-1,6.890000105E-1,1.130099964E1
3.560000000E2,1.909999996E-1,1.072000027E0,9.232000351E0
3.570000000E2,-4.979999959E-1,1.340000033E0,7.776000023E0
3.580000000E2,9.959999919E-1,6.890000105E-1,9.500000000E0
3.590000000E2,0.000000000E0,1.909999996E-1,1.168400002E1
3.600000000E2,-2.290000021E-1,6.510000229E-1,1.103199959E1
3.610000000E2,-7.599999756E-2,1.302000046E0,9.729999542E0
