"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.013095678E2,-1.193239500E1,-7.707708167E1,9.237304768E1,1.096358299E0,6.519999695E1,2.500000000E0,0.000000000E0
1.023096465E2,-1.193239000E1,-7.707707333E1,9.237293126E1,1.101505518E0,6.594999695E1,2.500000000E0,0.000000000E0
1.033099212E2,-1.193238667E1,-7.707706667E1,9.237284128E1,1.020179391E0,6.498000336E1,2.500000000E0,0.000000000E0
1.043098235E2,-1.193238167E1,-7.707706167E1,9.227276194E1,9.923844337E-1,6.261000061E1,2.500000000E0,0.000000000E0
1.053148455E2,-1.193237833E1,-7.707705333E1,9.217265343E1,9.954727888E-1,6.483999634E1,2.599999905E0,0.000000000E0
1.063112926E2,-1.193237500E1,-7.707704167E1,9.217250785E1,1.189008355E0,6.708999634E1,2.500000000E0,0.000000000E0
1.073099918E2,-1.193237333E1,-7.707703500E1,9.207242579E1,1.044886112E0,7.251999664E1,2.599999905E0,0.000000000E0
1.083179790E2,-1.193237000E1,-7.707703000E1,9.197235435E1,9.666483402E-1,6.801000214E1,2.599999905E0,0.000000000E0
1.093123375E2,-1.193236833E1,-7.707702000E1,9.197223522E1,9.501771927E-1,7.205999756E1,2.599999905E0,0.000000000E0
1.103101012E2,-1.193237167E1,-7.707701000E1,9.187213982E1,9.542949796E-1,8.288999939E1,2.599999905E0,0.000000000E0
1.113122790E2,-1.193237000E1,-7.707700000E1,9.177202069E1,9.934138656E-1,8.418000031E1,2.599999905E0,0.000000000E0
1.123098587E2,-1.193237000E1,-7.707699167E1,9.177192801E1,9.527508616E-1,8.469999695E1,2.599999905E0,0.000000000E0
1.133163480E2,-1.193236667E1,-7.707698333E1,9.167181950E1,9.578980803E-1,7.918000031E1,2.599999905E0,0.000000000E0
1.143099980E2,-1.193236167E1,-7.707697667E1,9.147172161E1,8.925283551E-1,7.522000122E1,2.500000000E0,0.000000000E0
1.153084085E2,-1.193236000E1,-7.707696500E1,9.137158394E1,8.873811364E-1,8.225000000E1,2.500000000E0,0.000000000E0
1.163138575E2,-1.193235833E1,-7.707695500E1,9.127146481E1,9.620158076E-1,7.637999725E1,2.500000000E0,0.000000000E0
1.173173956E2,-1.193235500E1,-7.707695000E1,9.127139338E1,8.312764168E-1,7.705999756E1,2.500000000E0,0.000000000E0
1.183129424E2,-1.193235333E1,-7.707694000E1,9.117127424E1,8.776013851E-1,7.888999939E1,2.500000000E0,0.000000000E0
1.193099416E2,-1.193235333E1,-7.707693333E1,9.117120010E1,8.178936243E-1,8.088999939E1,2.500000000E0,0.000000000E0
1.203096823E2,-1.193235000E1,-7.707692500E1,9.107109159E1,8.853222132E-1,7.572000122E1,2.599999905E0,0.000000000E0
1.213097956E2,-1.193234667E1,-7.707691833E1,9.107100162E1,8.626744151E-1,7.266999817E1,2.599999905E0,0.000000000E0
1.223097278E2,-1.193234333E1,-7.707690500E1,9.097083750E1,1.042312503E0,7.304000092E1,2.599999905E0,0.000000000E0
1.233115210E2,-1.193234167E1,-7.707689667E1,9.097073690E1,9.995905757E-1,7.504000092E1,2.599999905E0,0.000000000E0
1.243165730E2,-1.193233833E1,-7.707688833E1,9.097062839E1,9.635599852E-1,7.466999817E1,2.599999905E0,0.000000000E0
1.253124259E2,-1.193233333E1,-7.707688167E1,9.087053051E1,9.856930375E-1,6.655999756E1,2.599999905E0,0.000000000E0
1.263112330E2,-1.193233333E1,-7.707687500E1,9.087045636E1,9.012786150E-1,7.002999878E1,2.599999905E0,0.000000000E0
1.273100096E2,-1.193233000E1,-7.707686833E1,9.077036639E1,8.498063684E-1,6.544999695E1,2.599999905E0,0.000000000E0
1.283097895E2,-1.193233000E1,-7.707685500E1,9.077021810E1,9.666483402E-1,7.426000214E1,2.500000000E0,0.000000000E0
1.293140338E2,-1.193232667E1,-7.707684667E1,9.077010959E1,1.018635273E0,7.038999939E1,2.599999905E0,0.000000000E0
1.303097822E2,-1.193232500E1,-7.707683500E1,9.076997192E1,1.069592834E0,7.381999969E1,2.599999905E0,0.000000000E0
1.313098616E2,-1.193232167E1,-7.707682833E1,9.076988195E1,9.218674898E-1,7.391999817E1,2.599999905E0,0.000000000E0
1.323097140E2,-1.193231833E1,-7.707682000E1,9.066977344E1,9.604716897E-1,7.423000336E1,2.599999905E0,0.000000000E0
1.333097961E2,-1.193231667E1,-7.707680500E1,9.066959870E1,1.051577449E0,7.926000214E1,2.599999905E0,0.000000000E0
1.343097192E2,-1.193231500E1,-7.707679500E1,9.066947956E1,1.070622206E0,7.912999725E1,2.599999905E0,0.000000000E0
1.353173041E2,-1.193231167E1,-7.707678500E1,9.056935252E1,1.030988574E0,7.815000153E1,2.599999905E0,0.000000000E0
1.363126987E2,-1.193231000E1,-7.707677333E1,9.056921485E1,1.083490252E0,7.880999756E1,2.599999905E0,0.000000000E0
